event_id,issue_code,severity,message
TN_nilgir_1951:1981,cycle_rejected,high,Parent and child are identical (TN_nilgir_1951)
TN_narcot_1981:1991,cycle_rejected,high,Parent and child are identical (TN_narcot_1981)
TN_narcot_1981:1991,duplicate_row,medium,Duplicate lineage row for TN_narcot_1981
TN_narcot_1981:1991,duplicate_row,medium,Duplicate lineage row for TN_narcot_1981
TN_narcot_1981:2001,duplicate_row,medium,Duplicate lineage row for TN_vellor_2001
TN_narcot_1981:2001,duplicate_row,medium,Duplicate lineage row for TN_vellor_2001
TN_periya_1981:2001,duplicate_row,medium,Duplicate lineage row for TN_erode_2001
TN_salem_1961:1971,duplicate_row,medium,Duplicate lineage row for TN_dharma_1971
TN_cuddal_1991:2001,cycle_rejected,high,Parent and child are identical (TN_cuddal_1991)
TN_cuddal_1991:2001,duplicate_row,medium,Duplicate lineage row for TN_vilupp_2001
TN_thanja_1951:1961,cycle_rejected,high,Parent and child are identical (TN_thanja_1951)
TN_thanja_1951:1961,duplicate_row,medium,Duplicate lineage row for TN_thanja_1951
TN_thanja_1951:1961,duplicate_row,medium,Duplicate lineage row for TN_thanja_1951
TN_thanja_1951:1961,duplicate_row,medium,Duplicate lineage row for TN_thanja_1951
TN_thanja_1951:1961,duplicate_row,medium,Duplicate lineage row for TN_thanja_1951
TN_thanja_1951:2001,duplicate_row,medium,Duplicate lineage row for TN_nagapa_2001
TN_tiruch_1971:2001,duplicate_row,medium,Duplicate lineage row for TN_peramb_2001
TN_tiruch_1971:2011,cycle_rejected,high,Parent and child are identical (TN_tiruch_1971)
TN_tiruch_1971:1981,cycle_rejected,high,Parent and child are identical (TN_tiruch_1971)
TN_tiruch_1971:1981,duplicate_row,medium,Duplicate lineage row for TN_tiruch_1971
TN_tiruch_1971:1981,duplicate_row,medium,Duplicate lineage row for TN_tiruch_1971
TN_tiruch_1971:1981,duplicate_row,medium,Duplicate lineage row for TN_tiruch_1971
TN_tirune_1981:1991,cycle_rejected,high,Parent and child are identical (TN_tirune_1981)
