event_id,child_cdk,child_name,metric_basis,weight_value,weight_method,weight_confidence,source_year,basis,is_fallback
TG_mahbub_2011:2024,TG_naraya_2024,Narayanpet,production,0.25,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_mahbub_2011:2024,TG_wanapa_2024,Wanaparthy,area,0.25,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_mahbub_2011:2024,TG_wanapa_2024,Wanaparthy,production,0.25,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_medak_2011:2024,TG_sangar_2024,Sangareddy,area,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_medak_2011:2024,TG_sangar_2024,Sangareddy,production,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_medak_2011:2024,TG_siddip_2024,Siddipet,area,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_medak_2011:2024,TG_siddip_2024,Siddipet,production,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_nalgon_2011:2024,TG_jangao_2024,Jangaon,area,0.333333,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_nalgon_2011:2024,TG_jangao_2024,Jangaon,production,0.333333,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_nalgon_2011:2024,TG_suryap_2024,Suryapet,area,0.333333,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_nalgon_2011:2024,TG_suryap_2024,Suryapet,production,0.333333,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_nalgon_2011:2024,TG_yadadr_2024,Yadadri Bhuvanagiri,area,0.333333,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_nalgon_2011:2024,TG_yadadr_2024,Yadadri Bhuvanagiri,production,0.333333,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_nizama_2011:2024,TG_kamare_2024,Kamareddy,area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_nizama_2011:2024,TG_kamare_2024,Kamareddy,production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_rangar_1981:2024,TG_medcha_2024,Medchal–Malkajgiri,area,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_rangar_1981:2024,TG_medcha_2024,Medchal–Malkajgiri,production,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_rangar_1981:2024,TG_vikara_2024,Vikarabad,area,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_rangar_1981:2024,TG_vikara_2024,Vikarabad,production,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_warang_1951:2024,TG_jangao_2024,Jangaon,area,0.25,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_warang_1951:2024,TG_jangao_2024,Jangaon,production,0.25,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_warang_1951:2024,TG_jayash_2024,Jayashankar Bhupalpally,area,0.25,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_warang_1951:2024,TG_jayash_2024,Jayashankar Bhupalpally,production,0.25,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_warang_1951:2024,TG_mahabu_2024,Mahabubabad,area,0.25,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_warang_1951:2024,TG_mahabu_2024,Mahabubabad,production,0.25,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_warang_1951:2024,TG_mulugu_2024,Mulugu,area,0.25,equal_split_fallback,0.35,2024,equal_split_fallback,True
TG_warang_1951:2024,TG_mulugu_2024,Mulugu,production,0.25,equal_split_fallback,0.35,2024,equal_split_fallback,True
TN_nagapa_2001:2024,TN_mayila_2024,Mayiladuthurai,area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
TN_nagapa_2001:2024,TN_mayila_2024,Mayiladuthurai,production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
TN_tirune_1981:2024,TN_tenkas_2024,Tenkasi,area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
TN_tirune_1981:2024,TN_tenkas_2024,Tenkasi,production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
TN_vellor_2001:2024,TN_ranipe_2024,Ranipet,area,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TN_vellor_2001:2024,TN_ranipe_2024,Ranipet,production,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TN_vellor_2001:2024,TN_tirupa_2024,Tirupattur,area,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TN_vellor_2001:2024,TN_tirupa_2024,Tirupattur,production,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TN_vilupp_2001:2024,TN_kallak_2024,Kallakurichi,area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
