source_district,dest_district,source_year,dest_year,filter_state
Tirap Frontier Tract,Tirap Frontier Division,1951,1961,Arunachal Pradesh
Tirap Frontier Tract,Tirap Frontier Division,1951,1961,Arunachal Pradesh
Tirap Frontier Tract,Tirap Frontier Division,1951,1961,Arunachal Pradesh
Tirap Frontier Tract,Tirap Frontier Division,1951,1961,Arunachal Pradesh
Tirap Frontier Tract,Tirap Frontier Division,1951,1961,Arunachal Pradesh
Upper Subansiri,Kamle,2011,2024,Arunachal Pradesh
West Kameng,Tawang,1981,1991,Arunachal Pradesh
West Siang,Siang,2011,2024,Arunachal Pradesh
West Siang,Lower Siang,2011,2024,Arunachal Pradesh
West Siang,Lepa - Rada,2011,2024,Arunachal Pradesh
West Siang,Shi-Yomi,2011,2024,Arunachal Pradesh
West Siang,Lower Siang,2011,2024,Arunachal Pradesh
Anantapur,Sri Sathya Sai,2011,2024,Andhra Pradesh
Chittoor,Annamayya,2011,2024,Andhra Pradesh
Chittoor,Tirupati,2011,2024,Andhra Pradesh
Cuddapah,Y.S.R.,2001,2011,Andhra Pradesh
Cuddapah,Y.S.R.,2001,2011,Andhra Pradesh
East Godavari,Alluri Sitharama Raju,2011,2024,Andhra Pradesh
East Godavari,Dr. B. R. Ambedkar Konaseema,2011,2024,Andhra Pradesh
East Godavari,Kakinada,2011,2024,Andhra Pradesh
Guntur,Bapatla,2011,2024,Andhra Pradesh
Guntur,Palnadu,2011,2024,Andhra Pradesh
Krishna,NTR,2011,2024,Andhra Pradesh
Kurnool,Nandyal,2011,2024,Andhra Pradesh
Nellore,Prakasam,1971,1981,Andhra Pradesh
Nellore,Sri Potti Sriramulu Nellore,2001,2011,Andhra Pradesh
Nellore,Sri Potti Sriramulu Nellore,2001,2011,Andhra Pradesh
Sri Potti Sriramulu Nellore,Tirupati,2011,2024,Andhra Pradesh
Srikakulam,Vizianagaram,1971,1981,Andhra Pradesh
Srikakulam,Vizianagaram,1971,1981,Andhra Pradesh
Srikakulam,Parvathipuram Manyam,2011,2024,Andhra Pradesh
Visakhapatnam,Vizianagaram,1971,1981,Andhra Pradesh
Visakhapatnam,Vizianagaram,1971,1981,Andhra Pradesh
Visakhapatnam,Vishakhapatnam,1971,1981,Andhra Pradesh
Visakhapatnam,Vishakhapatnam,1971,1981,Andhra Pradesh
Visakhapatnam,Vishakhapatnam,1971,1981,Andhra Pradesh
Visakhapatnam,Alluri Sitharama Raju,2011,2024,Andhra Pradesh
Visakhapatnam,Anakapalli,2011,2024,Andhra Pradesh
Vishakhapatnam,Visakhapatnam,1981,1991,Andhra Pradesh
Vishakhapatnam,Visakhapatnam,1981,1991,Andhra Pradesh
Vishakhapatnam,Visakhapatnam,1981,1991,Andhra Pradesh
Vizagapatnam,Visakhapatnam,1951,1961,Andhra Pradesh
Vizagapatnam,Visakhapatnam,1951,1961,Andhra Pradesh
Vizagapatnam,Visakhapatnam,1951,1961,Andhra Pradesh
Vizagapatnam,Visakhapatnam,1951,1961,Andhra Pradesh
Vizagapatnam,Visakhapatnam,1951,1961,Andhra Pradesh
Vizianagaram,Parvathipuram Manyam,2011,2024,Andhra Pradesh
Vizianagaram,Alluri Sitharama Raju,2011,2024,Andhra Pradesh
West Godavari,Eluru,2011,2024,Andhra Pradesh
Y.S.R.,Annamayya,2011,2024,Andhra Pradesh
Andaman,Andamans,1981,1991,Andaman and Nicobar Islands
Andaman,Andamans,1981,1991,Andaman and Nicobar Islands
Andaman and Nicobar Islands,Nicobar,1971,1981,Andaman and Nicobar Islands
Andaman and Nicobar Islands,Andaman,1971,1981,Andaman and Nicobar Islands
Andaman and Nicobar Islands,Andaman,1971,1981,Andaman and Nicobar Islands
Andamans,North & Middle Andaman,2001,2011,Andaman and Nicobar Islands
Andamans,South Andaman,2001,2011,Andaman and Nicobar Islands
Nicobar,Nicobars,1981,1991,Andaman and Nicobar Islands
Nicobars,Nicobar,2001,2011,Andaman and Nicobar Islands
