icrisat_code_a,icrisat_code_b,parent_name,child_name,state,split_year,event_type,confidence
,2038.0,,Gariaband,Chhattisgarh,2011.0,NEW_DISTRICT,0.7
,2039.0,,Kondagaon,Chhattisgarh,2011.0,NEW_DISTRICT,0.7
,2040.0,,Mungli,Chhattisgarh,2011.0,NEW_DISTRICT,0.7
,2041.0,,Sukma,Chhattisgarh,2011.0,NEW_DISTRICT,0.7
,2042.0,,Surajpur,Chhattisgarh,2011.0,NEW_DISTRICT,0.7
,2043.0,,Fazilka,Punjab,2011.0,NEW_DISTRICT,0.7
,2044.0,,Biswanath,Assam,,NEW_DISTRICT,0.7
,2045.0,,Charaideo,Assam,,NEW_DISTRICT,0.7
,2046.0,,Hojai,Assam,,NEW_DISTRICT,0.7
,2047.0,,Majuli,Assam,,NEW_DISTRICT,0.7
,2048.0,,South Salmara - Mankachar,Assam,,NEW_DISTRICT,0.7
,2049.0,,West Karbi Anglong,Assam,,NEW_DISTRICT,0.7
,2050.0,,Aravalli,Gujarat,2014.0,NEW_DISTRICT,0.7
,2051.0,,Botad,Gujarat,2014.0,NEW_DISTRICT,0.7
,2052.0,,Chhota Udaipur,Gujarat,2014.0,NEW_DISTRICT,0.7
,2053.0,,Devbhoomi Dwarka,Gujarat,2014.0,NEW_DISTRICT,0.7
,2054.0,,Gir Somnath,Gujarat,2014.0,NEW_DISTRICT,0.7
,2055.0,,Mahi Sagar,Gujarat,2014.0,NEW_DISTRICT,0.7
,2056.0,,Morbi,Gujarat,2014.0,NEW_DISTRICT,0.7
,2057.0,,Charkhi Dadri,Haryana,2016.0,NEW_DISTRICT,0.7
,2058.0,,Agar Malwa,Madhya Pradesh,2013.0,NEW_DISTRICT,0.7
,2059.0,,Palghar,Maharashtra,2014.0,NEW_DISTRICT,0.7
,2060.0,,Alipurduar,West Bengal,2016.0,NEW_DISTRICT,0.7
,2061.0,,Jhargram,West Bengal,2016.0,NEW_DISTRICT,0.7
,2063.0,,Paschim Bardhaman,West Bengal,2016.0,NEW_DISTRICT,0.7
,2117.0,,Vikarabad,Telangana,2016.0,NEW_DISTRICT,0.7
,2124.0,,Tenkasi,Tamil Nadu,2019.0,NEW_DISTRICT,0.7
,2125.0,,Kallakurichi,Tamil Nadu,2019.0,NEW_DISTRICT,0.7
,2126.0,,Tirupattur,Tamil Nadu,2019.0,NEW_DISTRICT,0.7
,2127.0,,Ranipet,Tamil Nadu,2019.0,NEW_DISTRICT,0.7
,2128.0,,Chengalpattu,Tamil Nadu,2019.0,NEW_DISTRICT,0.7
,2129.0,,Mayiladuthurai,Tamil Nadu,,NEW_DISTRICT,0.7
,2130.0,,Gaurela-Pendra-Marwahi?,Chhattisgarh,2019.0,NEW_DISTRICT,0.7
,2131.0,,Niwari,Madhya Pradesh,2018.0,NEW_DISTRICT,0.7
